"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"ShopProducts","Baby's cloths shop","","0","0","1","0","0"
"ShopProducts","Quantity cart","","0","0","1","0","0"
"FirstPageTests","PromoBanner","","0","0","1","0","0"
"LoginFormTests","Missing credentials","","0","0","1","0","0"
"SearchInput","Search by name","","0","0","2","0","0"
"LoginFormTests","Logout","","0","0","1","0","0"
"ShopProducts","Add To wishlist men cloths","","0","0","1","0","0"
"LoginFormTests","","","0","0","1","0","0"
"","Filter blazers","","0","0","1","0","0"
"MenuItems","Menu items","","0","0","1","0","0"
"LoginFormTests","Wrong password","","0","0","1","0","0"
"LoginFormTests","Login","","0","0","1","0","0"
"RegisterFormTests","","","0","0","2","0","0"
"ShopProducts","Message add to cart","","0","0","1","0","0"
"","Filter by price kitchen","","0","0","1","0","0"
"ShopProducts","Delete products from cart","","0","0","1","0","0"
"ShopProducts","Shop by men cloths","","0","0","1","0","0"
"ShopProducts","Check sum in the cart","","0","0","1","0","0"
"ShopProducts","Tab product","","0","0","1","0","0"
"FirstPageTests","Slider","","0","0","1","0","0"
"ShopProducts","Add to cart pants","","0","0","1","0","0"
"ShopProducts","","","0","0","1","0","0"
"ShopProducts","Add a review books and music","","0","0","1","0","0"
